ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count,last_date,peak_difference,bot_difference,ATR_2,current_price,signal
AKBA,2020-06-05,2020-07-24,"[12, 17, 21, 30]",[7],"['2020-06-23', '2020-06-30', '2020-07-07', '2020-07-20']",['2020-08-04'],"[2.025, 1.0, 0.75, 0.25, 0.25, 0.0, 0.25, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",42,34,2020-08-12,47,13,0.014391808085041532,10.5,F
AKER,2020-07-20,2020-02-27,[9],"[12, 21, 26, 35, 45, 60, 75, 86, 90, 104, 109]",['2020-07-31'],"['2020-03-16', '2020-03-27', '2020-04-03', '2020-04-17', '2020-05-01', '2020-05-22', '2020-06-15', '2020-06-30', '2020-07-07', '2020-07-27', '2020-08-03']","[1.4, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.5454545454545456, 0.0, 0.5454545454545454, 0.45454545454545453, 0.18181818181818182, 0.09090909090909091, 0.18181818181818182, 0.0]",38,33,2020-08-12,17,116,0.019942906601742437,5.5,F
AKRO,2020-07-27,2020-06-11,[7],"[12, 22, 30, 35]",['2020-08-05'],"['2020-06-29', '2020-07-14', '2020-07-24', '2020-07-31']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.9, 1.0, 0.5, 0.5, 0.25, 0.0, 0.25, 0.0]",28,23,2020-08-12,12,43,0.0529372156073357,34.459999084472656,F
ALBO,2020-03-03,2020-06-12,"[17, 40, 49, 53, 63, 69, 80, 96, 105]","[14, 21, 30, 36]","['2020-03-26', '2020-04-29', '2020-05-12', '2020-05-18', '2020-06-02', '2020-06-10', '2020-06-25', '2020-07-20', '2020-07-31']","['2020-07-02', '2020-07-14', '2020-07-27', '2020-08-04']","[1.6444444444444444, 0.0, 0.4444444444444444, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.1111111111111111, 0.0]","[2.525, 1.0, 0.75, 0.25, 0.5, 0.0, 0.25, 0.0]",38,38,2020-08-12,113,42,0.045650216863149684,24.479999542236328,F
ALIM,2020-05-11,2020-04-03,"[7, 29, 35, 42, 52, 56, 60]","[15, 27, 38, 49, 57, 65, 70, 78, 84]","['2020-05-20', '2020-06-22', '2020-06-30', '2020-07-10', '2020-07-24', '2020-07-30', '2020-08-05']","['2020-04-27', '2020-05-13', '2020-05-29', '2020-06-15', '2020-06-25', '2020-07-08', '2020-07-15', '2020-07-27', '2020-08-04']","[2.0142857142857142, 0.7142857142857143, 0.2857142857142857, 0.2857142857142857, 0.5714285714285714, 0.14285714285714285, 0.14285714285714285, 0.0]","[1.6777777777777776, 0.0, 0.5555555555555556, 0.3333333333333333, 0.3333333333333333, 0.0, 0.1111111111111111, 0.0]",19,20,2020-08-12,65,90,0.023288315186358263,6.119999885559082,F
ALRN,2020-06-10,2019-12-31,"[28, 39]","[7, 20, 24, 39, 49, 64, 76, 96, 107, 134, 147]","['2020-07-21', '2020-08-05']","['2020-01-10', '2020-01-30', '2020-02-05', '2020-02-27', '2020-03-12', '2020-04-02', '2020-04-21', '2020-05-19', '2020-06-04', '2020-07-14', '2020-07-31']","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]","[1.3272727272727272, 0.09090909090909091, 0.36363636363636365, 0.09090909090909091, 0.2727272727272727, 0.2727272727272727, 0.18181818181818182, 0.0]",34,32,2020-08-12,44,155,0.006148109373324218,1.1799999475479126,F
AMCA,2020-01-10,2020-06-29,"[7, 18, 24, 28, 35, 54, 62, 67, 75, 84, 108, 121, 126, 130, 134, 138]",[7],"['2020-01-22', '2020-02-06', '2020-02-14', '2020-02-21', '2020-03-03', '2020-03-30', '2020-04-09', '2020-04-17', '2020-04-29', '2020-05-12', '2020-06-16', '2020-07-06', '2020-07-13', '2020-07-17', '2020-07-23', '2020-07-29']",['2020-07-09'],"[1.5999999999999999, 0.1875, 0.5, 0.1875, 0.3125, 0.0625, 0.1875, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",37,27,2020-08-12,148,31,0.016536861148265542,28.459999084472656,F
AMED,2020-07-06,2020-03-17,"[5, 19, 24]","[7, 24, 36, 41, 49, 61, 70, 80, 90]","['2020-07-13', '2020-07-31', '2020-08-07']","['2020-03-26', '2020-04-21', '2020-05-07', '2020-05-14', '2020-05-27', '2020-06-12', '2020-06-25', '2020-07-10', '2020-07-24']","[1.4333333333333333, 1.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.5888888888888886, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.2222222222222222, 0.2222222222222222, 0.0]",38,37,2020-08-12,27,103,0.1871542072709552,228.55999755859372,F
AMTD,2020-06-05,2020-07-09,"[7, 20, 28, 33, 42]","[7, 16, 21]","['2020-06-16', '2020-07-06', '2020-07-16', '2020-07-23', '2020-08-05']","['2020-07-20', '2020-07-31', '2020-08-07']","[2.02, 1.0, 0.4, 0.2, 0.6, 0.0, 0.0, 0.0]","[2.033333333333333, 1.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]",40,39,2020-08-12,47,24,0.02969110329233008,37.709999084472656,F
ANDE,2020-04-07,2020-06-15,"[15, 35, 42, 48, 57, 70]","[7, 17, 24, 33]","['2020-04-29', '2020-05-28', '2020-06-08', '2020-06-16', '2020-06-29', '2020-07-17']","['2020-06-24', '2020-07-09', '2020-07-20', '2020-07-31']","[2.5333333333333328, 0.8333333333333334, 0.6666666666666666, 0.5, 0.5, 0.16666666666666666, 0.16666666666666666, 0.0]","[1.625, 1.0, 0.5, 0.0, 0.25, 0.25, 0.25, 0.0]",40,38,2020-08-12,88,41,0.01683849965666882,17.6299991607666,F
ANGL,2020-05-06,2020-06-29,"[4, 21, 28, 33, 42, 60, 65]",[7],"['2020-05-12', '2020-06-05', '2020-06-16', '2020-06-23', '2020-07-07', '2020-07-31', '2020-08-07']",['2020-07-09'],"[2.0857142857142854, 1.0, 0.5714285714285714, 0.2857142857142857, 0.42857142857142855, 0.0, 0.14285714285714285, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",36,36,2020-08-12,68,31,0.007739811316542464,30.45000076293945,F
ANIX,2020-06-30,2020-07-14,"[7, 14, 24]",[12],"['2020-07-10', '2020-07-21', '2020-08-04']",['2020-07-30'],"[2.3666666666666667, 1.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",36,32,2020-08-12,30,21,0.0068741207891302005,2.640000104904175,F
ANY,2020-07-27,2020-07-24,[6],[7],['2020-08-04'],['2020-08-04'],"[1.4, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",43,28,2020-08-12,12,13,0.0191987773129016,2.9300000667572017,F
AXGT,2019-10-24,2020-02-11,"[7, 21, 26, 36, 51, 73, 80, 104, 120, 128, 133, 137, 141, 146, 157, 161, 180]","[6, 13, 25, 48, 56, 61, 65, 75, 79, 84, 102, 115, 120]","['2019-11-04', '2019-11-22', '2019-12-02', '2019-12-16', '2020-01-08', '2020-02-10', '2020-02-20', '2020-03-25', '2020-04-17', '2020-04-29', '2020-05-06', '2020-05-12', '2020-05-18', '2020-05-26', '2020-06-10', '2020-06-16', '2020-07-14']","['2020-02-20', '2020-03-02', '2020-03-18', '2020-04-21', '2020-05-01', '2020-05-08', '2020-05-14', '2020-05-29', '2020-06-04', '2020-06-11', '2020-07-08', '2020-07-27', '2020-08-03']","[1.2999999999999998, 0.17647058823529413, 0.35294117647058826, 0.17647058823529413, 0.23529411764705882, 0.23529411764705882, 0.17647058823529413, 0.0]","[1.4846153846153847, 0.07692307692307693, 0.46153846153846156, 0.38461538461538464, 0.15384615384615385, 0.23076923076923078, 0.23076923076923078, 0.07692307692307693]",35,35,2020-08-12,201,127,0.006620459532270637,3.2100000381469727,F
AXNX,2020-06-08,2020-04-02,"[7, 24, 35, 43]","[21, 29, 39, 49, 60, 70, 78, 84]","['2020-06-17', '2020-07-13', '2020-07-28', '2020-08-07']","['2020-05-04', '2020-05-14', '2020-05-29', '2020-06-12', '2020-06-29', '2020-07-14', '2020-07-24', '2020-08-03']","[2.0, 1.0, 0.25, 0.25, 0.5, 0.25, 0.25, 0.0]","[2.275, 0.5, 0.625, 0.25, 0.5, 0.0, 0.25, 0.0]",38,36,2020-08-12,46,91,0.06270417631169654,43.02000045776367,F
AXSM,2020-05-08,2020-06-12,"[21, 30, 34, 42, 50]","[9, 21, 35]","['2020-06-09', '2020-06-22', '2020-06-26', '2020-07-09', '2020-07-21']","['2020-06-25', '2020-07-14', '2020-08-03']","[2.1, 1.0, 0.6, 0.4, 0.4, 0.0, 0.0, 0.2]","[2.5666666666666664, 1.0, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0]",38,33,2020-08-12,66,42,0.10686493057881197,78.5999984741211,F
BANX,2020-07-08,2020-05-29,[5],"[9, 15, 21, 31, 39]",['2020-07-15'],"['2020-06-11', '2020-06-19', '2020-06-29', '2020-07-14', '2020-07-24']","[1.4, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[1.6999999999999997, 1.0, 0.8, 0.2, 0.2, 0.0, 0.0, 0.0]",31,34,2020-08-12,25,52,0.01902158478223434,19.100000381469727,F
BATRA,2020-03-26,2020-06-29,"[15, 23, 30, 36, 42, 49, 56, 67, 76, 80]","[7, 20]","['2020-04-17', '2020-04-29', '2020-05-08', '2020-05-18', '2020-05-27', '2020-06-05', '2020-06-16', '2020-07-01', '2020-07-15', '2020-07-21']","['2020-07-09', '2020-07-28']","[1.4700000000000002, 0.1, 0.4, 0.3, 0.3, 0.2, 0.1, 0.0]","[1.55, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0]",39,36,2020-08-12,96,31,0.02218367363162621,21.209999084472656,F
BATRK,2020-03-26,2020-07-09,"[15, 23, 30, 36, 42, 49, 56, 67, 80]",[12],"['2020-04-17', '2020-04-29', '2020-05-08', '2020-05-18', '2020-05-27', '2020-06-05', '2020-06-16', '2020-07-01', '2020-07-21']",['2020-07-27'],"[1.611111111111111, 0.0, 0.4444444444444444, 0.3333333333333333, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",38,35,2020-08-12,96,24,0.019642066668974775,21.049999237060547,F
BBC,2020-06-10,2019-08-05,"[9, 20, 28]","[8, 14, 21, 40, 46, 72, 105, 111, 120, 124, 143, 156, 167, 175, 187, 196, 206, 210, 216, 227, 237, 250]","['2020-06-23', '2020-07-09', '2020-07-21']","['2019-08-15', '2019-08-23', '2019-09-04', '2019-10-01', '2019-10-09', '2019-11-14', '2020-01-03', '2020-01-13', '2020-01-27', '2020-01-31', '2020-02-28', '2020-03-18', '2020-04-02', '2020-04-15', '2020-05-01', '2020-05-14', '2020-05-29', '2020-06-04', '2020-06-12', '2020-06-29', '2020-07-14', '2020-07-31']","[1.5, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]","[1.4954545454545454, 0.09090909090909091, 0.4090909090909091, 0.2727272727272727, 0.2727272727272727, 0.22727272727272727, 0.18181818181818182, 0.0]",37,37,2020-08-12,44,258,0.028255769593660243,40.23500061035156,F
BBH,2020-04-28,2020-04-02,"[10, 14, 25, 30, 39, 48, 57, 68]","[20, 37, 49, 60, 70, 78, 83]","['2020-05-12', '2020-05-18', '2020-06-03', '2020-06-10', '2020-06-23', '2020-07-07', '2020-07-20', '2020-08-04']","['2020-05-01', '2020-05-27', '2020-06-12', '2020-06-29', '2020-07-14', '2020-07-24', '2020-07-31']","[1.475, 1.0, 0.5, 0.375, 0.125, 0.125, 0.125, 0.0]","[1.4142857142857141, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.2857142857142857, 0.0, 0.14285714285714285, 0.0]",43,38,2020-08-12,74,91,0.06591085825737839,162.0500030517578,F
BGRN,2020-03-31,2020-06-05,"[12, 21, 36, 41, 70, 90]","[18, 26, 42]","['2020-04-17', '2020-04-30', '2020-05-21', '2020-05-29', '2020-07-10', '2020-08-07']","['2020-07-01', '2020-07-14', '2020-08-05']","[2.2, 0.8333333333333334, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]","[1.6666666666666665, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0]",34,31,2020-08-12,93,47,0.003904763098833879,55.41999816894531,F
BIB,2019-11-04,2020-07-24,"[24, 28, 36, 50, 63, 67, 72, 83, 101, 114, 120, 130, 134, 139, 150, 159, 168, 177, 188]",[5],"['2019-12-09', '2019-12-13', '2019-12-26', '2020-01-16', '2020-02-05', '2020-02-11', '2020-02-19', '2020-03-05', '2020-03-31', '2020-04-20', '2020-04-28', '2020-05-12', '2020-05-18', '2020-05-26', '2020-06-10', '2020-06-23', '2020-07-07', '2020-07-20', '2020-08-04']",['2020-07-31'],"[1.4526315789473683, 0.15789473684210525, 0.5263157894736842, 0.21052631578947367, 0.15789473684210525, 0.21052631578947367, 0.2631578947368421, 0.0]","[1.4, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",40,41,2020-08-12,194,13,0.06528757581212677,68.87999725341797,F
BIS,2020-07-24,2020-04-20,[5],"[6, 16, 20, 25, 36, 45, 54, 63]",['2020-07-31'],"['2020-04-28', '2020-05-12', '2020-05-18', '2020-05-26', '2020-06-10', '2020-06-23', '2020-07-07', '2020-07-20']","[1.4, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[1.6, 0.875, 0.625, 0.375, 0.125, 0.125, 0.125, 0.0]",40,39,2020-08-12,13,80,0.007789422655729944,8.220000267028809,F
BJK,2020-07-06,2020-05-29,[7],"[9, 21, 28, 41]",['2020-07-15'],"['2020-06-11', '2020-06-29', '2020-07-09', '2020-07-28']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]",33,38,2020-08-12,27,52,0.02250935209701645,37.7400016784668,F
BLCN,2020-06-23,2020-06-24,"[13, 21, 32]","[13, 21]","['2020-07-13', '2020-07-23', '2020-08-07']","['2020-07-14', '2020-07-24']","[1.5333333333333334, 1.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]","[2.05, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.5]",37,35,2020-08-12,35,34,0.019478979364427124,34.669998168945305,F
BNDW,2020-04-30,2020-06-05,"[5, 20, 36, 42, 49, 68]","[12, 18]","['2020-05-07', '2020-05-29', '2020-06-22', '2020-06-30', '2020-07-10', '2020-08-06']","['2020-06-23', '2020-07-01']","[1.7166666666666666, 0.8333333333333334, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.16666666666666666, 0.16666666666666666]","[1.9, 1.0, 1.0, 0.0, 0.0, 0.0, 0.5, 0.0]",30,27,2020-08-12,72,47,0.0034127267289148873,81.94000244140625,F
BNDX,2020-05-21,2020-07-13,"[5, 14, 24, 33, 51]",[15],"['2020-05-29', '2020-06-11', '2020-06-25', '2020-07-09', '2020-08-04']",['2020-08-03'],"[1.82, 1.0, 0.6, 0.2, 0.2, 0.2, 0.2, 0.2]","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",34,32,2020-08-12,57,22,0.0028267514232621933,58.02000045776367,F
BOKFL,2020-07-10,2020-07-21,"[7, 14]",[12],"['2020-07-21', '2020-07-30']",['2020-08-06'],"[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",32,31,2020-08-12,23,16,0.00990079361184466,25.7549991607666,F
BPOP,2019-10-22,2020-07-09,"[5, 10, 40, 49, 54, 60, 72, 77, 110, 117, 123, 130, 150, 156, 163, 176, 189]","[7, 21]","['2019-10-29', '2019-11-05', '2019-12-18', '2020-01-02', '2020-01-09', '2020-01-17', '2020-02-05', '2020-02-12', '2020-03-31', '2020-04-09', '2020-04-20', '2020-04-29', '2020-05-28', '2020-06-05', '2020-06-16', '2020-07-06', '2020-07-23']","['2020-07-20', '2020-08-07']","[1.511764705882353, 0.23529411764705882, 0.47058823529411764, 0.4117647058823529, 0.17647058823529413, 0.17647058823529413, 0.17647058823529413, 0.058823529411764705]","[2.8, 1.0, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0]",38,36,2020-08-12,203,24,0.04221972826589705,37.72000122070313,F
BPOPM,2020-06-11,2020-05-06,"[16, 21, 38]","[27, 36, 45, 51, 60]","['2020-07-06', '2020-07-13', '2020-08-05']","['2020-06-15', '2020-06-26', '2020-07-10', '2020-07-20', '2020-07-31']","[1.3666666666666667, 1.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0]","[2.08, 1.0, 1.0, 0.4, 0.0, 0.0, 0.4, 0.0]",36,34,2020-08-12,43,68,0.005107011360947089,25.459999084472656,F
BPOPN,2020-05-04,2020-04-22,"[21, 25, 30, 36]","[10, 21, 37, 56, 70, 75]","['2020-06-03', '2020-06-09', '2020-06-16', '2020-06-24']","['2020-05-06', '2020-05-21', '2020-06-15', '2020-07-13', '2020-07-31', '2020-08-07']","[2.1999999999999997, 1.0, 0.75, 0.5, 0.25, 0.0, 0.25, 0.0]","[1.8666666666666667, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.16666666666666666, 0.0, 0.0]",34,38,2020-08-12,70,78,0.012019228009346614,25.959999084472656,F
BPRN,2020-06-16,2020-05-14,"[21, 25]","[21, 30, 48, 54]","['2020-07-16', '2020-07-22']","['2020-06-15', '2020-06-26', '2020-07-23', '2020-07-31']","[2.15, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0]","[2.4000000000000004, 1.0, 1.0, 0.25, 0.25, 0.25, 0.25, 0.0]",34,33,2020-08-12,40,62,0.02069979096214788,19.46999931335449,F
BSBE,2020-05-05,2020-05-12,"[14, 24, 32, 42, 48]","[6, 21, 40, 45, 55]","['2020-05-26', '2020-06-09', '2020-06-19', '2020-07-08', '2020-07-16']","['2020-05-20', '2020-06-11', '2020-07-13', '2020-07-20', '2020-08-03']","[2.3, 1.0, 0.6, 0.0, 0.4, 0.6, 0.4, 0.0]","[1.8600000000000003, 0.8, 0.6, 0.6, 0.2, 0.2, 0.0, 0.2]",38,39,2020-08-12,67,62,0.0026961631634636464,25.895000457763672,F
BSCL,2020-05-22,2020-07-01,"[7, 30]","[8, 21]","['2020-06-03', '2020-07-07']","['2020-07-14', '2020-07-31']","[2.15, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0]","[1.95, 1.0, 0.5, 0.0, 0.5, 0.5, 0.0, 0.0]",27,28,2020-08-12,56,29,0.0011956163616377885,21.3799991607666,T
BSCM,2020-06-17,2020-03-19,[12],"[9, 33, 80, 84]",['2020-07-06'],"['2020-04-01', '2020-05-06', '2020-07-14', '2020-07-20']","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[2.05, 0.75, 0.75, 0.25, 0.25, 0.25, 0.25, 0.0]",29,19,2020-08-12,39,101,0.001531370187408175,21.899999618530273,T
BSCN,2020-04-28,2020-06-26,"[28, 47, 56]","[15, 21]","['2020-06-08', '2020-07-06', '2020-07-17']","['2020-07-20', '2020-07-28']","[1.5666666666666667, 0.6666666666666666, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]","[2.75, 1.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0]",27,32,2020-08-12,74,32,0.0015141533633018154,21.88999938964844,T
BSCO,2020-02-21,2020-03-23,"[9, 24, 40, 47, 69, 77, 115]","[7, 12, 20, 40]","['2020-03-05', '2020-03-26', '2020-04-20', '2020-04-29', '2020-06-01', '2020-06-11', '2020-08-05']","['2020-04-01', '2020-04-08', '2020-04-21', '2020-05-19']","[1.3999999999999997, 0.8571428571428571, 0.42857142857142855, 0.2857142857142857, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.0]","[1.675, 1.0, 0.25, 0.5, 0.25, 0.25, 0.25, 0.0]",33,29,2020-08-12,120,99,0.0019380003629558226,22.280000686645508,T
BSCP,2020-03-31,2020-02-27,"[12, 21]","[15, 75, 84]","['2020-04-17', '2020-04-30']","['2020-03-19', '2020-06-15', '2020-06-26']","[2.9, 1.0, 1.0, 0.0, 0.5, 0.0, 0.5, 0.0]","[2.7333333333333334, 0.3333333333333333, 1.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]",26,28,2020-08-12,93,116,0.0016669818787951355,22.489999771118164,T
BSCQ,2020-01-30,2020-02-13,"[7, 26, 38, 42, 53, 91, 97, 120]","[25, 35, 47, 84, 93]","['2020-02-10', '2020-03-09', '2020-03-25', '2020-03-31', '2020-04-16', '2020-06-10', '2020-06-18', '2020-07-22']","['2020-03-20', '2020-04-03', '2020-04-22', '2020-06-15', '2020-06-26']","[1.475, 0.875, 0.25, 0.125, 0.375, 0.125, 0.125, 0.0]","[1.88, 0.6, 0.4, 0.4, 0.4, 0.0, 0.2, 0.0]",33,30,2020-08-12,135,125,0.0018369864791224519,21.78499984741211,T
BSCS,2020-06-18,2020-03-20,"[24, 35]","[10, 21, 32, 57]","['2020-07-23', '2020-08-07']","['2020-04-03', '2020-04-21', '2020-05-06', '2020-06-11']","[2.8, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0]","[1.55, 1.0, 0.5, 0.25, 0.25, 0.25, 0.0, 0.0]",32,31,2020-08-12,38,100,0.002211453164765589,23.35000038146973,T
