,ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count,last_date,peak_difference,bot_difference,ATR_2,current_price,signal
132,FRBK,2020-06-09,2020-05-29,"[5, 15, 25, 35]","[11, 20, 28, 36, 45]","['2020-06-16', '2020-06-30', '2020-07-15', '2020-07-29']","['2020-06-15', '2020-06-26', '2020-07-09', '2020-07-21', '2020-08-03']","[1.825, 1.0, 0.25, 1.0, 0.25, 0.0, 0.0, 0.25]","[1.5599999999999998, 1.0, 0.4, 0.4, 0.2, 0.0, 0.2, 0.0]",36,38,2020-08-12,45,52,0.0036703010705839843,2.3199999332427983,F
137,GASS,2020-06-02,2020-03-09,"[6, 21, 25, 34, 45]","[7, 14, 28, 48, 66, 77, 84, 90, 96, 106]","['2020-06-10', '2020-07-01', '2020-07-08', '2020-07-21', '2020-08-05']","['2020-03-18', '2020-03-27', '2020-04-17', '2020-05-15', '2020-06-11', '2020-06-26', '2020-07-08', '2020-07-16', '2020-07-24', '2020-08-07']","[1.7000000000000002, 1.0, 0.6, 0.4, 0.2, 0.0, 0.0, 0.2]","[2.03, 0.0, 0.5, 0.1, 0.5, 0.2, 0.3, 0.0]",34,37,2020-08-12,50,109,0.005529558632302539,2.380000114440918,F
142,GEC,2020-03-20,2020-07-16,"[6, 12, 17, 22, 35, 43, 49, 56, 60, 69, 78, 91]","[7, 12]","['2020-03-30', '2020-04-07', '2020-04-15', '2020-04-22', '2020-05-11', '2020-05-21', '2020-06-01', '2020-06-10', '2020-06-16', '2020-06-29', '2020-07-13', '2020-07-30']","['2020-07-27', '2020-08-03']","[1.4749999999999999, 0.0, 0.4166666666666667, 0.16666666666666666, 0.3333333333333333, 0.08333333333333333, 0.16666666666666666, 0.0]","[2.3, 1.0, 0.5, 0.0, 0.5, 0.0, 0.5, 0.0]",37,31,2020-08-12,100,19,0.006657289334549482,2.6500000953674316,F
149,GHSI,2020-05-22,2020-07-02,"[11, 15, 21, 34, 40]","[7, 21]","['2020-06-09', '2020-06-15', '2020-06-23', '2020-07-13', '2020-07-21']","['2020-07-14', '2020-08-03']","[1.52, 1.0, 0.4, 0.4, 0.2, 0.2, 0.0, 0.2]","[2.8, 1.0, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0]",33,36,2020-08-12,56,28,0.0008498341033976461,0.4160000085830689,T
152,GLG,2020-07-06,2020-06-17,[7],[7],['2020-07-15'],['2020-06-26'],"[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",32,29,2020-08-12,27,39,0.0053632042179736356,3.9000000953674316,F
155,GLYC,2020-06-29,2020-04-03,"[7, 15]","[7, 28, 36, 48, 54]","['2020-07-09', '2020-07-21']","['2020-04-15', '2020-05-14', '2020-05-27', '2020-06-12', '2020-06-22']","[2.15, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0]","[2.18, 1.0, 0.6, 0.0, 0.4, 0.2, 0.4, 0.0]",44,39,2020-08-12,31,90,0.006854956346925241,3.75,F
158,GNLN,2020-06-30,2020-07-23,"[14, 21]",[7],"['2020-07-21', '2020-07-30']",['2020-08-03'],"[2.8, 1.0, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",24,28,2020-08-12,30,14,0.006856947237580792,3.25,F
164,GPOR,2020-06-16,2020-07-20,"[27, 35]",[9],"['2020-07-24', '2020-08-05']",['2020-07-31'],"[2.15, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0]","[1.4, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,32,2020-08-12,40,17,0.0044608303614436014,0.8799999952316284,F
168,GRIL,2020-05-12,2020-06-19,"[4, 10, 21, 30, 49, 55]","[16, 24, 33]","['2020-05-18', '2020-05-27', '2020-06-11', '2020-06-24', '2020-07-22', '2020-07-30']","['2020-07-14', '2020-07-24', '2020-08-06']","[1.633333333333333, 0.6666666666666666, 0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.0, 0.16666666666666666]","[1.5333333333333332, 1.0, 0.6666666666666666, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0]",12,14,2020-08-12,64,37,0.0077733306659972514,2.630000114440918,F
170,GRNQ,2020-05-27,2020-07-07,"[14, 48]","[14, 21]","['2020-06-16', '2020-08-04']","['2020-07-27', '2020-08-05']","[2.45, 1.0, 0.5, 0.0, 0.5, 0.5, 0.5, 0.0]","[2.8, 1.0, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0]",33,40,2020-08-12,54,26,0.006440851973275899,0.8109999895095825,F
173,GROW,2020-05-14,2019-09-06,"[16, 24, 36, 46, 55]","[39, 70, 89, 107, 112, 120, 132, 136, 144, 172, 180, 193, 203, 211]","['2020-06-08', '2020-06-18', '2020-07-07', '2020-07-21', '2020-08-03']","['2019-10-31', '2019-12-16', '2020-01-14', '2020-02-10', '2020-02-18', '2020-02-28', '2020-03-17', '2020-03-23', '2020-04-02', '2020-05-13', '2020-05-26', '2020-06-12', '2020-06-26', '2020-07-09']","[1.4000000000000001, 0.8, 0.4, 0.2, 0.0, 0.4, 0.4, 0.2]","[1.457142857142857, 0.21428571428571427, 0.35714285714285715, 0.21428571428571427, 0.21428571428571427, 0.2857142857142857, 0.2857142857142857, 0.07142857142857142]",35,31,2020-08-12,62,235,0.006414999970118604,3.359999895095825,F
175,GRTS,2020-06-09,2020-05-14,"[12, 22, 42]","[12, 21, 32, 41]","['2020-06-25', '2020-07-10', '2020-08-07']","['2020-06-02', '2020-06-15', '2020-06-30', '2020-07-14']","[1.9999999999999998, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]","[1.625, 1.0, 0.5, 0.0, 0.25, 0.25, 0.25, 0.0]",35,36,2020-08-12,45,62,0.019115547009573262,3.5899999141693115,F
181,GTEC,2020-06-11,2020-03-19,"[7, 16, 21, 39]","[17, 35, 52, 60, 93]","['2020-06-22', '2020-07-06', '2020-07-13', '2020-08-06']","['2020-04-14', '2020-05-08', '2020-06-03', '2020-06-15', '2020-07-31']","[1.875, 1.0, 0.5, 0.0, 0.5, 0.25, 0.0, 0.0]","[1.4799999999999998, 0.6, 0.4, 0.4, 0.2, 0.0, 0.2, 0.0]",28,24,2020-08-12,43,101,0.013964595514911813,2.9000000953674316,F
182,GTIM,2020-04-17,2019-11-26,"[17, 21, 35, 41, 64]","[12, 31, 49, 63, 135, 157]","['2020-05-12', '2020-05-18', '2020-06-08', '2020-06-16', '2020-07-20']","['2019-12-13', '2020-01-13', '2020-02-07', '2020-02-28', '2020-06-11', '2020-07-14']","[1.44, 1.0, 0.2, 0.2, 0.4, 0.2, 0.0, 0.0]","[1.6500000000000001, 0.5, 0.5, 0.16666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0]",35,28,2020-08-12,81,178,0.002489117714910169,1.1699999570846558,T
183,GTYH,2020-05-28,2020-05-22,"[9, 20, 24, 42]","[15, 21, 35, 52]","['2020-06-10', '2020-06-25', '2020-07-01', '2020-07-28']","['2020-06-15', '2020-06-23', '2020-07-14', '2020-08-06']","[2.0999999999999996, 1.0, 0.75, 0.25, 0.25, 0.25, 0.25, 0.0]","[2.1, 0.75, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0]",40,36,2020-08-12,53,56,0.0103639471168569,3.619999885559082,F
191,HALL,2020-01-02,2020-04-21,"[12, 24, 57, 70, 81, 99, 109, 114, 124, 132, 140]","[17, 21, 28, 36, 47, 53, 72]","['2020-01-21', '2020-02-06', '2020-03-25', '2020-04-14', '2020-04-29', '2020-05-26', '2020-06-09', '2020-06-16', '2020-06-30', '2020-07-13', '2020-07-23']","['2020-05-14', '2020-05-20', '2020-06-01', '2020-06-11', '2020-06-26', '2020-07-07', '2020-08-03']","[1.590909090909091, 0.18181818181818182, 0.6363636363636364, 0.18181818181818182, 0.18181818181818182, 0.09090909090909091, 0.2727272727272727, 0.0]","[1.6142857142857143, 1.0, 0.42857142857142855, 0.0, 0.2857142857142857, 0.14285714285714285, 0.2857142857142857, 0.0]",38,37,2020-08-12,154,79,0.015617028410366685,3.740000009536743,F
193,HAPP,2020-06-17,2020-07-14,"[5, 13, 24, 33]","[12, 18]","['2020-06-24', '2020-07-07', '2020-07-22', '2020-08-04']","['2020-07-30', '2020-08-07']","[1.55, 1.0, 0.5, 0.25, 0.0, 0.25, 0.25, 0.5]","[1.9, 1.0, 1.0, 0.0, 0.0, 0.0, 0.5, 0.0]",24,18,2020-08-12,39,21,0.004320015271340524,2.315000057220459,F
200,HBP,2020-05-06,2020-07-14,"[4, 8, 13, 21, 42, 60, 65]",[7],"['2020-05-12', '2020-05-18', '2020-05-26', '2020-06-05', '2020-07-07', '2020-07-31', '2020-08-07']",['2020-07-23'],"[1.7428571428571427, 1.0, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",33,36,2020-08-12,68,21,0.015160024844148875,2.4000000953674316,F
204,HCAP,2020-04-27,2020-07-10,"[11, 16, 39, 43, 50, 56, 63, 72]",[12],"['2020-05-12', '2020-05-19', '2020-06-22', '2020-06-26', '2020-07-08', '2020-07-16', '2020-07-27', '2020-08-07']",['2020-07-28'],"[1.425, 0.75, 0.375, 0.125, 0.25, 0.375, 0.125, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",29,30,2020-08-12,75,23,0.0044091655506805355,3.869999885559082,F
219,HIHO,2020-03-27,2020-06-09,"[6, 30, 36, 40, 56, 60, 68, 72, 80, 88]","[14, 42]","['2020-04-06', '2020-05-11', '2020-05-19', '2020-05-26', '2020-06-17', '2020-06-23', '2020-07-06', '2020-07-10', '2020-07-22', '2020-08-03']","['2020-06-29', '2020-08-07']","[1.5299999999999998, 0.0, 0.5, 0.4, 0.1, 0.5, 0.3, 0.0]","[2.8, 1.0, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0]",42,29,2020-08-12,95,45,0.014118054127276016,3.1700000762939453,F
220,HIMX,2020-05-12,2020-06-24,"[18, 27, 35, 42, 49, 60]","[13, 21]","['2020-06-08', '2020-06-19', '2020-07-01', '2020-07-13', '2020-07-22', '2020-08-06']","['2020-07-14', '2020-07-24']","[2.3666666666666667, 0.8333333333333334, 0.6666666666666666, 0.3333333333333333, 0.5, 0.0, 0.16666666666666666, 0.0]","[2.05, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.5]",34,34,2020-08-12,64,34,0.006587779698775306,3.920000076293945,F
221,HJLIW,2020-06-22,2020-05-06,[21],"[31, 49, 60]",['2020-07-22'],"['2020-06-19', '2020-07-16', '2020-07-31']","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.7666666666666664, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]",20,23,2020-08-12,36,68,0.001511451613266418,0.1080000028014183,T
226,HMHC,2020-05-28,2020-05-14,"[7, 16, 35, 48]","[11, 21, 30, 39]","['2020-06-08', '2020-06-19', '2020-07-17', '2020-08-05']","['2020-06-01', '2020-06-15', '2020-06-26', '2020-07-10']","[2.075, 1.0, 0.25, 0.25, 0.5, 0.5, 0.25, 0.0]","[1.775, 1.0, 0.75, 0.25, 0.25, 0.0, 0.0, 0.0]",39,37,2020-08-12,53,62,0.011219247616666423,2.799999952316284,F
232,HNRG,2019-06-20,2020-04-23,"[7, 24, 41, 60, 70, 79, 90, 103, 110, 120, 132, 156, 168, 174, 182, 191, 204, 217, 236, 244, 270, 276]","[14, 21, 28, 45, 54, 58, 68]","['2019-07-01', '2019-07-25', '2019-08-19', '2019-09-16', '2019-09-30', '2019-10-11', '2019-10-28', '2019-11-14', '2019-11-25', '2019-12-10', '2019-12-27', '2020-02-03', '2020-02-20', '2020-02-28', '2020-03-11', '2020-03-24', '2020-04-13', '2020-04-30', '2020-05-28', '2020-06-09', '2020-07-16', '2020-07-24']","['2020-05-13', '2020-05-22', '2020-06-03', '2020-06-26', '2020-07-10', '2020-07-16', '2020-07-30']","[1.6681818181818184, 0.09090909090909091, 0.5, 0.2727272727272727, 0.22727272727272727, 0.13636363636363635, 0.36363636363636365, 0.0]","[1.6714285714285713, 1.0, 0.42857142857142855, 0.14285714285714285, 0.42857142857142855, 0.0, 0.0, 0.0]",35,37,2020-08-12,289,77,0.002352905293703934,0.8289999961853027,T
239,HOTH,2020-02-12,2020-02-13,"[12, 27, 35, 49, 57, 67, 74, 80, 96, 108, 118]","[10, 24, 28, 33, 45, 55, 77, 86, 96, 115]","['2020-03-02', '2020-03-23', '2020-04-02', '2020-04-23', '2020-05-05', '2020-05-19', '2020-05-29', '2020-06-08', '2020-06-30', '2020-07-17', '2020-07-31']","['2020-02-28', '2020-03-19', '2020-03-25', '2020-04-01', '2020-04-20', '2020-05-04', '2020-06-04', '2020-06-17', '2020-07-01', '2020-07-29']","[1.3818181818181818, 0.09090909090909091, 0.45454545454545453, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.2727272727272727, 0.0]","[1.4900000000000002, 0.1, 0.4, 0.4, 0.2, 0.2, 0.2, 0.1]",34,37,2020-08-12,126,125,0.009967877706152,2.6600000858306885,F
245,HSDT,2020-07-07,2020-03-18,"[5, 11, 21]","[15, 24, 41, 50, 70, 90, 96]","['2020-07-14', '2020-07-22', '2020-08-05']","['2020-04-08', '2020-04-22', '2020-05-15', '2020-05-29', '2020-06-26', '2020-07-27', '2020-08-04']","[1.6666666666666667, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333]","[1.9142857142857141, 0.8571428571428571, 0.5714285714285714, 0.5714285714285714, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.0]",33,29,2020-08-12,26,102,0.0016382898260273707,0.47200000286102295,T
251,HSTO,2020-01-21,2020-07-16,"[6, 19, 28, 39]",[12],"['2020-01-29', '2020-05-27', '2020-06-09', '2020-06-24']",['2020-08-03'],"[1.3, 1.0, 0.5, 0.0, 0.25, 0.0, 0.0, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",7,8,2020-08-12,73,19,0.00849112440644002,2.690000057220459,F
253,HTGM,2020-06-22,2020-07-07,"[12, 21, 27]","[5, 15]","['2020-07-09', '2020-07-22', '2020-07-30']","['2020-07-14', '2020-07-28']","[2.4, 1.0, 1.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]","[1.75, 1.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.5]",42,36,2020-08-12,36,26,0.0022066947579942224,0.5429999828338623,T
261,HUSN,2019-11-26,2020-06-29,"[7, 12, 21, 32, 49, 63, 68, 77, 83, 96, 101, 105, 115]",[21],"['2019-12-06', '2019-12-13', '2019-12-27', '2020-01-14', '2020-02-07', '2020-05-20', '2020-05-28', '2020-06-10', '2020-06-18', '2020-07-08', '2020-07-15', '2020-07-21', '2020-08-04']",['2020-07-29'],"[1.7076923076923078, 0.07692307692307693, 0.38461538461538464, 0.15384615384615385, 0.46153846153846156, 0.15384615384615385, 0.15384615384615385, 0.0]","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",14,9,2020-08-12,121,31,0.004008961584295724,0.5210000276565552,F
267,HYRE,2020-06-04,2020-07-14,"[13, 21, 26]","[10, 14]","['2020-06-23', '2020-07-06', '2020-07-13']","['2020-07-28', '2020-08-03']","[1.4333333333333333, 1.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333]","[1.55, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0]",34,37,2020-08-12,48,21,0.007117691195517319,3.369999885559082,F
295,ICMB,2020-06-01,2020-07-07,"[5, 12, 21, 28]",[15],"['2020-06-08', '2020-06-17', '2020-06-30', '2020-07-10']",['2020-07-28'],"[2.35, 1.0, 0.5, 0.25, 0.5, 0.0, 0.25, 0.25]","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",30,31,2020-08-12,51,26,0.00537355512033719,3.259999990463257,F
300,IDRA,2020-04-20,2020-02-13,"[16, 25, 30, 36, 63]","[21, 35, 56, 66, 84, 96, 100, 116, 120]","['2020-05-12', '2020-05-26', '2020-06-02', '2020-06-10', '2020-07-20']","['2020-03-16', '2020-04-03', '2020-05-05', '2020-05-19', '2020-06-15', '2020-07-01', '2020-07-08', '2020-07-30', '2020-08-05']","[1.82, 0.8, 0.6, 0.4, 0.2, 0.2, 0.2, 0.0]","[2.2222222222222223, 0.0, 0.5555555555555556, 0.3333333333333333, 0.4444444444444444, 0.3333333333333333, 0.3333333333333333, 0.0]",33,32,2020-08-12,80,125,0.0048704300023888645,2.059999942779541,F
304,IEA,2020-06-23,2020-07-09,"[15, 30]",[7],"['2020-07-15', '2020-08-05']",['2020-07-20'],"[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",41,38,2020-08-12,35,24,0.014850493590631694,3.700000047683716,F
313,IFMK,2020-04-30,2020-07-14,"[20, 28, 45, 56, 69]","[12, 18]","['2020-05-29', '2020-06-10', '2020-07-06', '2020-07-21', '2020-08-07']","['2020-07-30', '2020-08-07']","[1.74, 0.6, 0.4, 0.4, 0.4, 0.2, 0.0, 0.0]","[1.9, 1.0, 1.0, 0.0, 0.0, 0.0, 0.5, 0.0]",41,32,2020-08-12,72,21,0.0038950330585244383,0.9390000104904176,F
318,III,2020-02-27,2020-06-22,"[21, 30, 35, 43, 51, 69, 76, 84, 88, 96, 107]","[12, 21]","['2020-03-27', '2020-04-09', '2020-04-17', '2020-04-29', '2020-05-11', '2020-06-05', '2020-06-16', '2020-06-26', '2020-07-02', '2020-07-15', '2020-07-30']","['2020-07-09', '2020-07-22']","[1.5636363636363635, 0.0, 0.5454545454545454, 0.18181818181818182, 0.2727272727272727, 0.18181818181818182, 0.18181818181818182, 0.0]","[2.9, 1.0, 1.0, 0.0, 0.5, 0.0, 0.5, 0.0]",37,30,2020-08-12,116,36,0.0031113183377638755,2.2699999809265137,F
323,IKNX,2020-05-08,2020-07-01,"[12, 20, 27, 35, 54]","[5, 21]","['2020-05-27', '2020-06-08', '2020-06-17', '2020-06-29', '2020-07-27']","['2020-07-09', '2020-07-31']","[1.8, 1.0, 0.6, 0.4, 0.2, 0.0, 0.2, 0.0]","[2.4, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.5]",34,34,2020-08-12,66,29,0.01124289741380402,3.799999952316284,F
326,IMAC,2020-07-27,2020-07-09,[7],[12],['2020-08-05'],['2020-07-27'],"[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",38,31,2020-08-12,12,24,0.009486647426262035,1.2300000190734863,F
327,IMGN,2020-06-02,2020-06-22,"[6, 10, 15, 24, 34, 42]","[5, 15]","['2020-06-10', '2020-06-16', '2020-06-23', '2020-07-07', '2020-07-21', '2020-07-31']","['2020-06-29', '2020-07-14']","[1.8666666666666667, 1.0, 0.6666666666666666, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[1.75, 1.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.5]",42,39,2020-08-12,50,36,0.006396622747931867,3.859999895095825,F
328,IMMP,2020-06-23,2020-03-25,"[15, 21]","[7, 27, 56, 73, 90]","['2020-07-15', '2020-07-23']","['2020-04-03', '2020-05-04', '2020-06-15', '2020-07-09', '2020-08-03']","[2.75, 1.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0]","[1.6, 0.6, 0.4, 0.2, 0.4, 0.2, 0.0, 0.0]",41,27,2020-08-12,35,97,0.005151512136259613,1.309999942779541,F
337,INFI,2020-05-18,2020-05-13,"[15, 20, 36, 42]","[30, 42]","['2020-06-09', '2020-06-16', '2020-07-09', '2020-07-17']","['2020-06-25', '2020-07-14']","[2.1999999999999997, 1.0, 0.75, 0.5, 0.25, 0.0, 0.25, 0.0]","[2.75, 1.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0]",30,22,2020-08-12,60,63,0.002896143924699741,1.1599999666213991,F
