ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count,last_date,peak_difference,bot_difference,ATR_2,current_price,signal
0356.HK,2020-06-01,2020-07-09,"[32, 36, 42]","[5, 21]","['2020-07-17', '2020-07-23', '2020-07-31']","['2020-07-16', '2020-08-07']","[2.1, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[2.4, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.5]",24,27,2020-08-13,51,25,0.00033999725915855435,0.0560000017285347,F
0357.HK,2020-07-28,2020-05-22,[7],"[15, 36, 48]",['2020-08-06'],"['2020-06-12', '2020-07-15', '2020-07-31']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.4, 1.0, 1.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0]",29,29,2020-08-13,12,57,0.13652416632731998,47.0,F
0358.HK,2020-07-28,2020-03-19,[7],"[7, 24, 28, 36, 46, 60, 64, 80, 85, 90]",['2020-08-06'],"['2020-03-30', '2020-04-24', '2020-05-04', '2020-05-14', '2020-05-28', '2020-06-17', '2020-06-23', '2020-07-17', '2020-07-24', '2020-07-31']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.5700000000000003, 0.1, 0.4, 0.4, 0.2, 0.3, 0.3, 0.0]",34,39,2020-08-13,12,99,0.009938582103234443,8.949999809265137,F
0359.HK,2020-07-20,2020-06-19,"[10, 14]",[6],"['2020-08-03', '2020-08-07']",['2020-06-30'],"[1.55, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0]","[1.4, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",15,20,2020-08-13,18,37,0.00033220389942046523,0.1080000028014183,F
0360.HK,2020-05-22,2020-07-09,"[10, 28, 54]","[12, 21]","['2020-06-05', '2020-07-03', '2020-08-10']","['2020-07-27', '2020-08-07']","[1.5, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]","[2.9, 1.0, 1.0, 0.0, 0.5, 0.0, 0.5, 0.0]",35,34,2020-08-13,57,25,0.0004471592155830629,0.07199999690055847,F
0361.HK,2020-03-25,2020-05-28,"[7, 19, 36, 63, 70, 78, 88]","[7, 21, 35]","['2020-04-03', '2020-04-23', '2020-05-20', '2020-06-29', '2020-07-09', '2020-07-21', '2020-08-04']","['2020-06-08', '2020-06-29', '2020-07-20']","[1.7428571428571427, 0.42857142857142855, 0.42857142857142855, 0.14285714285714285, 0.42857142857142855, 0.14285714285714285, 0.14285714285714285, 0.0]","[2.833333333333333, 1.0, 0.3333333333333333, 0.3333333333333333, 1.0, 0.0, 0.0, 0.0]",18,36,2020-08-13,95,53,0.00016760091649158546,0.032000001519918435,F
0362.HK,2020-07-24,2020-06-15,[7],"[11, 21]",['2020-08-04'],"['2020-07-02', '2020-07-16']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]",28,21,2020-08-13,14,41,0.0015022568366209134,0.33000001311302185,F
0363.HK,2020-07-07,2020-05-29,[21],"[10, 21, 48]",['2020-08-05'],"['2020-06-12', '2020-06-30', '2020-08-07']","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.3333333333333335, 1.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",31,30,2020-08-13,27,52,0.005700009602728886,11.880000114440918,F
0365.HK,2020-07-13,2020-07-20,"[12, 18]","[5, 15]","['2020-07-29', '2020-08-06']","['2020-07-27', '2020-08-10']","[1.9, 1.0, 1.0, 0.0, 0.0, 0.0, 0.5, 0.0]","[1.75, 1.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.5]",34,35,2020-08-13,23,18,0.004185574048367646,1.6000000238418581,F
0366.HK,2020-06-24,2020-06-15,"[5, 21]","[9, 15, 21]","['2020-07-03', '2020-07-27']","['2020-06-29', '2020-07-08', '2020-07-16']","[2.4, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.5]","[2.3, 1.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]",26,27,2020-08-13,34,41,0.001417110289721223,1.2200000286102295,F
0367.HK,2020-03-26,2020-07-23,"[6, 15, 49]",[7],"['2020-04-03', '2020-04-20', '2020-06-09']",['2020-08-03'],"[1.833333333333333, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",24,24,2020-08-13,94,15,0.0008984851429288959,0.959999978542328,F
0368.HK,2020-07-28,2020-07-27,[],[10],[],['2020-08-10'],"[0, 0, 0, 0, 0, 0, 0, 0]","[0.8999999999999999, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",1,2,2020-08-13,12,13,0.0043051794100299615,0.6100000143051147,F
0369.HK,2020-05-14,2020-07-10,"[13, 17, 26, 35, 60]",[14],"['2020-06-02', '2020-06-08', '2020-06-19', '2020-07-06', '2020-08-10']",['2020-07-30'],"[1.4200000000000002, 1.0, 0.2, 0.4, 0.2, 0.0, 0.2, 0.2]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",39,26,2020-08-13,63,24,0.003244686565880853,3.809999942779541,F
0370.HK,2020-05-11,2020-07-07,"[21, 30, 41, 50, 55, 63]","[7, 24]","['2020-06-09', '2020-06-22', '2020-07-09', '2020-07-22', '2020-07-29', '2020-08-10']","['2020-07-16', '2020-08-10']","[1.8333333333333333, 0.6666666666666666, 0.5, 0.5, 0.3333333333333333, 0.0, 0.0, 0.16666666666666666]","[2.45, 1.0, 0.5, 0.0, 0.5, 0.5, 0.5, 0.0]",25,39,2020-08-13,66,27,0.0037993316955726615,0.11599999666213988,F
0371.HK,2020-04-28,2020-05-25,"[7, 27, 36, 65]","[4, 14, 21, 36, 43, 52]","['2020-05-11', '2020-06-08', '2020-06-19', '2020-08-03']","['2020-05-29', '2020-06-12', '2020-06-23', '2020-07-16', '2020-07-27', '2020-08-07']","[1.725, 1.0, 0.5, 0.25, 0.25, 0.0, 0.25, 0.0]","[1.4000000000000001, 0.8333333333333334, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0]",27,32,2020-08-13,73,56,0.0022013743767912626,3.359999895095825,F
0372.HK,2020-04-27,2019-11-26,[7],"[9, 25, 30, 42, 62, 100, 113, 139, 168]",['2020-05-08'],"['2019-12-09', '2020-01-03', '2020-01-10', '2020-01-30', '2020-02-27', '2020-04-23', '2020-05-14', '2020-06-19', '2020-08-03']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.3555555555555556, 0.0, 0.4444444444444444, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.0]",18,20,2020-08-13,74,176,0.00047034359805099004,0.2800000011920929,F
0373.HK,2020-03-19,2020-04-07,"[15, 21, 42, 55, 85]","[15, 56]","['2020-04-09', '2020-04-21', '2020-05-22', '2020-06-10', '2020-07-24']","['2020-05-04', '2020-07-02']","[2.2, 0.8, 0.6, 0.6, 0.4, 0.0, 0.0, 0.2]","[2.1999999999999997, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0]",19,20,2020-08-13,99,86,0.08861621161554202,71.5,F
0374.HK,2019-02-19,2020-04-07,"[14, 183, 294]",[24],"['2019-03-11', '2019-11-14', '2020-04-28']",['2020-05-15'],"[2.1999999999999997, 0.3333333333333333, 0.6666666666666666, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0]","[2.7, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]",6,10,2020-08-13,367,86,0.000458206842255786,2.759999990463257,F
0375.HK,2019-12-30,2020-06-10,"[5, 36, 110, 126, 142]","[20, 24]","['2020-01-07', '2020-02-21', '2020-06-10', '2020-07-06', '2020-07-28']","['2020-07-10', '2020-07-16']","[1.5400000000000003, 0.4, 0.4, 0.4, 0.2, 0.0, 0.2, 0.2]","[1.7999999999999998, 1.0, 0.5, 0.5, 0.0, 0.5, 0.5, 0.0]",19,25,2020-08-13,154,44,0.005215575915198336,2.3299999237060547,F
0376.HK,2020-05-15,2020-06-15,"[7, 15, 24, 37, 45, 55]","[7, 15, 21]","['2020-05-26', '2020-06-05', '2020-06-18', '2020-07-09', '2020-07-21', '2020-08-04']","['2020-06-24', '2020-07-08', '2020-07-16']","[1.7166666666666666, 0.6666666666666666, 0.5, 0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[2.5666666666666664, 1.0, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0]",32,36,2020-08-13,62,41,0.004360318920677804,3.440000057220459,F
0377.HK,2020-06-01,2019-07-19,"[30, 48]","[40, 51, 60, 96, 105, 124, 132, 148, 174, 195, 201, 209, 213, 223, 231, 238, 245, 249, 254, 260]","['2020-07-15', '2020-08-10']","['2019-09-13', '2019-09-30', '2019-10-15', '2019-12-04', '2019-12-17', '2020-01-16', '2020-01-30', '2020-02-21', '2020-03-30', '2020-05-04', '2020-05-12', '2020-05-22', '2020-05-28', '2020-06-11', '2020-06-23', '2020-07-06', '2020-07-15', '2020-07-21', '2020-07-28', '2020-08-05']","[2.4, 1.0, 1.0, 0.5, 0.0, 0.5, 0.5, 0.0]","[1.47, 0.1, 0.55, 0.3, 0.2, 0.1, 0.15, 0.0]",16,28,2020-08-13,51,266,0.035462610146457345,10.260000228881836,F
0378.HK,2020-04-20,2020-01-30,"[15, 30, 34, 39, 48]","[5, 21, 35, 42, 50, 65]","['2020-05-13', '2020-06-03', '2020-06-09', '2020-06-16', '2020-06-30']","['2020-02-06', '2020-02-28', '2020-03-19', '2020-03-30', '2020-04-09', '2020-05-06']","[1.8, 1.0, 0.8, 0.4, 0.0, 0.2, 0.2, 0.2]","[2.15, 1.0, 0.3333333333333333, 0.6666666666666666, 0.5, 0.0, 0.0, 0.16666666666666666]",32,25,2020-08-12,78,133,8.101038332183731e-05,0.028999999165534977,F
